#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46246  49.985 -145.089 2012 01 06 06 29  MM    MM    MM  8.1  14 10.3 224     MM    MM    MM   6.7    MM   MM     MM
46247  37.753 -122.833 2012 01 06 07 51  MM    MM    MM  4.1  17 10.0 270     MM    MM    MM  11.6    MM   MM     MM
46248  46.133 -124.667 2012 01 06 08 04  MM    MM    MM  5.0  13 10.6 276     MM    MM    MM   9.5    MM   MM     MM
46249  33.821 -119.708 2012 01 06 08 07  MM    MM    MM  2.5  17  8.5 261     MM    MM    MM  14.6    MM   MM     MM
51000  23.546 -154.056 2012 01 06 07 50  70   6.0   8.0  3.1  14  9.3 346 1023.1  +0.6  21.3  23.1    MM   MM     MM
51002  17.094 -157.808 2012 01 06 07 50  70  11.0  13.0   MM  MM   MM  MM 1018.7  +0.8  23.7  24.3    MM   MM     MM
51003  19.018 -160.582 2012 01 06 07 50  70   8.0  10.0  3.1  12  7.4  MM 1019.8  +0.9  24.3  25.1    MM   MM     MM
51004  17.525 -152.382 2012 01 06 07 50  60  10.0    MM   MM  MM   MM  MM     MM    MM  23.1    MM  15.8   MM     MM
51100  23.558 -153.900 2012 01 06 07 50  60   2.0   4.0  3.1  14  9.0 333 1023.8  +0.7  20.8  23.3    MM   MM     MM
51101  24.321 -162.058 2012 01 06 07 50 120   4.0   5.0  2.1  12  8.6 351 1022.9  +1.6  23.3  23.8  19.6   MM     MM
51201  21.673 -158.116 2012 01 06 07 42  MM    MM    MM  2.2  14  9.3 346     MM    MM    MM  24.2    MM   MM     MM
51202  21.417 -157.668 2012 01 06 07 40  MM    MM    MM  2.3  14  6.8   8     MM    MM    MM  23.8    MM   MM     MM
51203  20.788 -157.010 2012 01 06 07 43  MM    MM    MM  1.3  13  7.3 280     MM    MM    MM  24.6    MM   MM     MM
51204  21.281 -158.124 2012 01 06 07 52  MM    MM    MM  1.6  13  7.2 309     MM    MM    MM  24.6    MM   MM     MM
51205  21.019 -156.427 2012 01 06 07 48  MM    MM    MM  2.6  15  8.3 355     MM    MM    MM  24.0    MM   MM     MM
52200  13.354  144.789 2012 01 06 07 45  MM    MM    MM  1.9   7   MM  MM     MM    MM    MM  28.6    MM   MM     MM
61001  43.400    7.800 2012 01 06 06 00 300  13.4    MM  3.0   8   MM  MM 1005.6  +2.4  13.3  13.5   3.4   MM     MM
61002  42.102    4.703 2012 01 06 06 00  MM  19.6    MM  4.0   8   MM  MM 1016.8  +0.6  12.0  13.3    MM   MM     MM
62001  45.201   -5.000 2012 01 06 07 00 340   6.7    MM  4.2   9   MM  MM 1032.2  +0.9  12.9  13.3  10.8   MM     MM
62027  49.082   -2.218 2012 01 06 06 00 350  10.3    MM  2.6  MM   14  MM 1027.1  +1.7    MM  11.1    MM   MM     MM
62029  48.701  -12.401 2012 01 06 07 00 300   6.2    MM  4.0  MM    9  MM 1033.8  +0.1  11.3  12.5   9.6   MM     MM
62081  51.000  -13.301 2012 01 06 07 00  MM    MM    MM  3.9  MM    8  MM 1030.6  -0.4  11.4  11.7  10.6   MM     MM
62094  51.690   -6.704 2012 01 06 07 00 280   6.2    MM  2.1  MM    6  MM 1028.2  +0.3   9.5  10.2   6.4   MM     MM
62095  53.056  -15.924 2012 01 06 07 00 230   9.3    MM  3.7  MM    8  MM 1024.4  -1.0  11.8  11.0  11.1   MM     MM
62103  49.900   -2.900 2012 01 06 07 00 350   9.8    MM  2.0  MM    8  MM 1027.8  +2.3   9.4  11.3   4.0   11     MM
62105  55.400  -12.200 2012 01 06 07 00 240   9.8    MM  3.9  MM    8  MM 1019.8  -0.6   9.9  10.6   8.5   MM     MM
62107  50.103   -6.100 2012 01 06 07 00 320   5.7    MM  2.8  MM   10  MM 1030.3  +1.5  10.5  11.4   4.9   MM     MM
62114  58.300    0.100 2012 01 06 07 00 310   8.8    MM   MM  MM   MM  MM 1014.9  +1.8   6.6    MM  -0.1   MM     MM
62142  53.000    2.101 2012 01 06 07 00 320  14.4    MM  3.2  MM    6  MM 1018.5  +3.0   7.3    MM   1.9    5     MM
62144  53.400    1.700 2012 01 06 07 00 310  10.8    MM  3.3  MM    7  MM 1019.7  +3.3   7.1    MM   1.3   MM     MM
62145  53.103    2.800 2012 01 06 07 00 310  13.9    MM  4.4  MM    7  MM 1019.3  +2.8   7.2    MM   2.6    5     MM
62163  47.500   -8.500 2012 01 06 07 00 310   5.1    MM  3.8  MM    9  MM 1033.6  +1.1  11.2  12.3   9.6   MM     MM
62164  57.201    0.500 2012 01 06 07 00 310  11.3    MM  4.6  MM    8  MM 1016.3  +2.3   8.6   8.8   2.2   11     MM
62301  52.300   -4.500 2012 01 06 07 00 300   5.7    MM  1.9  MM    6  MM 1026.6  +1.0   8.3   8.4   5.5   MM     MM
62303  51.603   -5.100 2012 01 06 07 00 320   4.6    MM  2.3  MM    8  MM 1028.0  +1.3   9.7  10.6   6.0   MM     MM
62304  51.103    1.800 2012 01 06 07 00 310  12.4    MM  2.0  MM    6  MM 1023.1  +3.5   6.7  10.3   1.1   11     MM
62305  50.400    0.000 2012 01 06 07 00 330  13.4    MM  1.8  MM    7  MM 1025.9  +2.2   7.9  10.9   3.0   11     MM
63104  61.201    1.601 2012 01 06 07 00 310  10.3    MM   MM  MM   MM  MM 1009.0  +1.1   5.4    MM   1.1   11     MM
63105  61.000    1.700 2012 01 06 07 00  MM    MM    MM   MM  MM   MM  MM 1009.0  +1.4   6.5    MM   0.2   11     MM
63110  59.500    1.500 2012 01 06 07 00 320  10.3    MM  3.7  MM    7  MM 1011.4  +2.2   7.7    MM   2.0   11     MM
63112  61.103    0.000 2012 01 06 07 00 320   9.3    MM  4.8  MM    9  MM 1009.6  +1.5   4.9    MM  -1.0   MM     MM
63113  61.000    1.700 2012 01 06 07 00 330   9.8    MM  4.4  MM    8  MM 1009.4  +1.5   5.5    MM  -0.3   MM     MM
63117  61.400    1.200 2012 01 06 07 00 320   9.8    MM   MM  MM   MM  MM 1009.5  +1.2   5.5    MM  -0.5   11     MM
64045  59.100  -11.401 2012 01 06 07 00 200  12.4    MM  4.1  MM    7  MM 1008.6  -5.3   9.2   9.9   8.5   MM     MM
64046  60.701   -4.500 2012 01 06 07 00 250   4.1    MM  4.6  MM    9  MM 1013.8  -1.5   5.4   7.3   0.8   MM     MM
AAMC1  37.772 -122.298 2012 01 06 08 00 100   2.6   3.1   MM  MM   MM  MM 1021.2  +0.0   9.2  11.1    MM   MM     MM
ACYN4  39.355  -74.418 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1014.2    MM   6.2   6.7    MM   MM     MM
ADKA2  51.863 -176.632 2012 01 06 07 54 300   1.0   1.5   MM  MM   MM  MM  998.2    MM  -2.5   2.9    MM   MM     MM
ALIA2  56.898 -154.247 2012 01 06 08 00 350   4.1   6.7   MM  MM   MM  MM     MM    MM -11.2    MM    MM   MM     MM
ALXN6  44.330  -75.933 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1007.2    MM    MM   3.2    MM   MM     MM
AMRL1  29.450  -91.338 2012 01 06 08 06 150   1.5   1.5   MM  MM   MM  MM     MM    MM  12.8   9.8    MM   MM     MM
ANCF1  28.193  -82.789 2012 01 06 06 54 170   2.6   2.6   MM  MM   MM  MM 1022.2    MM  13.8  13.7    MM   MM   0.93
ANMF1  27.550  -82.750 2012 01 06 06 54 220   1.0   1.5   MM  MM   MM  MM 1023.2    MM  15.5    MM    MM   MM   0.58
ANMN6  42.018  -73.917 2012 01 06 07 30  MM   0.0    MM   MM  MM   MM  MM 1012.0    MM  -1.4    MM  -6.5   MM     MM
ANTA2  61.238 -149.890 2012 01 06 07 54 130   1.5   2.1   MM  MM   MM  MM  999.7    MM -10.6    MM    MM   MM     MM
ANVC1  38.913 -123.708 2012 01 06 07 54 280   2.1   3.1   MM  MM   MM  MM 1023.0    MM   9.5  10.9    MM   MM     MM
APAM2  38.983  -76.480 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1013.9    MM   0.6    MM    MM   MM     MM
APCF1  29.727  -84.982 2012 01 06 08 06  10   1.0   1.0   MM  MM   MM  MM     MM    MM   9.6  13.6    MM   MM     MM
APNM4  45.060  -83.424 2012 01 06 08 00 170   3.6   3.6   MM  MM   MM  MM     MM    MM   1.1    MM    MM   MM     MM
APXF1  29.791  -84.883 2012 01 06 07 45  20   1.0    MM   MM  MM   MM  MM 1022.0    MM   6.5    MM   6.5   MM     MM
AROP4  18.480  -66.702 2012 01 06 08 06 180   2.6   3.6   MM  MM   MM  MM     MM    MM  22.0  26.0    MM   MM     MM
ARPF1  28.433  -82.667 2012 01 06 06 54 200   1.0   1.5   MM  MM   MM  MM 1022.6    MM  11.4    MM    MM   MM   1.66
ASTO3  46.208 -123.767 2012 01 06 08 00 110   0.5   0.5   MM  MM   MM  MM 1029.0  -0.3   3.4   7.7    MM   MM     MM
ATGM1  44.392  -68.205 2012 01 06 08 06 220   3.1   4.6   MM  MM   MM  MM 1011.9    MM  -6.4   3.4    MM   MM     MM
ATKA2  52.232 -174.173 2012 01 06 08 00 220   2.6   3.6   MM  MM   MM  MM 1000.9  -0.6  -1.6   3.6    MM   MM     MM
AUDP4  18.458  -67.164 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1017.0    MM    MM    MM    MM   MM     MM
AUGA2  59.378 -153.348 2012 01 06 08 00 270   7.7   9.8   MM  MM   MM  MM 1003.8  +1.1 -16.8    MM    MM   MM     MM
BABT2  27.301  -97.416 2012 01 06 08 00 190   3.6   4.1   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BARA9  17.591  -61.821 2012 01 06 08 00 100   3.1   5.1   MM  MM   MM  MM 1014.3  -1.1  24.8  25.5    MM   MM     MM
BARN6  42.346  -79.596 2012 01 06 08 00 200   7.7  11.8   MM  MM   MM  MM 1005.8  -1.4   6.3    MM    MM   MM     MM
BATN6  40.700  -74.015 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1013.9    MM   2.7   6.9    MM   MM     MM
BDRN4  40.082  -74.872 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1013.9    MM  -0.1   2.7    MM   MM     MM
BFTN7  34.720  -76.670 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1018.9    MM   5.7   9.2    MM   MM     MM
BGCF1  26.404  -81.881 2012 01 06 06 54  MM   0.0   0.5   MM  MM   MM  MM 1023.3    MM  14.3    MM    MM   MM   0.92
BGNN4  40.640  -74.147 2012 01 06 08 06 210   2.1   2.6   MM  MM   MM  MM 1013.7    MM   1.6   6.3    MM   MM     MM
BGXN3  43.059  -70.830 2012 01 06 07 45 210   2.1    MM   MM  MM   MM  MM 1014.0    MM  -3.9    MM -10.5   MM     MM
BHBM3  42.355  -71.052 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1013.5    MM  -1.6   5.6    MM   MM     MM
BHRI3  41.647  -87.147 2012 01 06 07 40 220   5.1   8.2   MM  MM   MM  MM 1007.5    MM   7.6    MM    MM   MM     MM
BIGM4  46.830  -87.730 2012 01 06 07 40 310   2.6   5.1   MM  MM   MM  MM  994.2    MM   8.0    MM    MM   MM     MM
BISM2  38.220  -76.038 2012 01 06 08 06 220   3.6   4.1   MM  MM   MM  MM 1015.0    MM   4.8   3.6    MM   MM     MM
BLIA2  60.840 -146.880 2012 01 06 07 58 190  16.0  18.0   MM  MM   MM  MM  994.8  -3.9   1.7    MM    MM   MM     MM
BLTA2  58.455 -135.888 2012 01 06 07 00  80   1.5   4.1   MM  MM   MM  MM 1016.0  -1.0   0.6    MM  -3.3   MM     MM
BLTM2  39.267  -76.578 2012 01 06 08 06 270   1.0   1.5   MM  MM   MM  MM 1013.5    MM   0.2   6.1    MM   MM     MM
BLTM3  41.705  -71.173 2012 01 06 07 54 330   1.0   1.5   MM  MM   MM  MM 1014.0    MM  -1.1    MM    MM   MM     MM
BRHC3  41.173  -73.182 2012 01 06 08 00 260   2.1   2.6   MM  MM   MM  MM 1013.8  -0.4   1.9   6.2    MM   MM     MM
BRND1  38.987  -75.113 2012 01 06 08 06 230   7.2   8.2   MM  MM   MM  MM 1014.4    MM   4.6   5.8    MM   MM     MM
BSBM4  44.055  -86.514 2012 01 06 07 40 160   4.6   7.2   MM  MM   MM  MM 1002.0    MM   5.9    MM    MM   MM     MM
BSLM2  38.781  -76.708 2012 01 06 07 30  MM   1.5    MM   MM  MM   MM  MM 1014.0    MM  -1.3    MM  -2.4   MM     MM
BUFN6  42.877  -78.890 2012 01 06 07 54 210   7.2   9.3   MM  MM   MM  MM 1005.1    MM   4.1    MM    MM   MM     MM
BURL1  28.905  -89.428 2012 01 06 08 00 250   4.1   4.1   MM  MM   MM  MM 1022.4  -1.2  16.7    MM  16.3   MM     MM
BUZM3  41.397  -71.033 2012 01 06 08 00 330   3.1   4.1   MM  MM   MM  MM 1014.0  +0.6   0.4    MM    MM   MM     MM
BYGL1  29.789  -90.420 2012 01 06 08 06 190   1.5   2.6   MM  MM   MM  MM 1020.9    MM  11.8  14.1    MM   MM     MM
BZBM3  41.523  -70.672 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1014.0    MM   0.0   6.1    MM   MM     MM
CAMF1  27.765  -82.649 2012 01 06 06 54  MM   0.0   0.5   MM  MM   MM  MM     MM    MM  10.9    MM    MM   MM     MM
CAMM2  38.573  -76.068 2012 01 06 08 06 170   0.5   1.0   MM  MM   MM  MM 1014.6    MM   1.8   4.1    MM   MM     MM
CAPL1  29.768  -93.343 2012 01 06 08 12 200   4.6   5.1   MM  MM   MM  MM 1020.6    MM  16.2  15.1    MM   MM     MM
CARO3  43.342 -124.375 2012 01 06 08 00  50   1.5   2.6   MM  MM   MM  MM 1027.2  -1.3   6.1    MM   6.0   MM     MM
CASM1  43.657  -70.247 2012 01 06 08 00  MM    MM    MM   MM  MM   MM  MM 1012.5  +1.1  -4.5   5.8    MM   MM     MM
CBBV2  36.967  -76.113 2012 01 06 08 00 200   5.7   6.7   MM  MM   MM  MM 1016.2  -0.7   6.1   7.0    MM   MM     MM
CBLO1  41.981  -80.555 2012 01 06 08 00 210   9.3  11.8   MM  MM   MM  MM 1006.1  -0.3   5.0    MM    MM   MM     MM
CBRW3  45.198  -87.360 2012 01 06 07 40 180   3.1   5.1   MM  MM   MM  MM  998.6    MM   3.7    MM    MM   MM     MM
CCUF1  27.663  -82.618 2012 01 06 05 48  MM    MM    MM   MM  MM   MM  MM 1023.8    MM  15.7    MM    MM   MM     MM
CDEA2  56.002 -134.133 2012 01 06 07 00 120   9.8  12.4   MM  MM   MM  MM 1015.9  -1.7   3.9    MM  -2.2   MM     MM
CDRF1  29.136  -83.029 2012 01 06 08 00 260   1.5   2.1   MM  MM   MM  MM 1022.2  -1.1  14.0    MM  13.5   MM     MM
CECC1  41.745 -124.183 2012 01 06 08 00  70   1.0   2.1   MM  MM   MM  MM 1025.1  -0.4   5.5  10.1    MM   MM     MM
CFWM1  44.657  -67.210 2012 01 06 08 06 360   1.0   2.6   MM  MM   MM  MM 1011.8    MM  -8.8   5.1    MM   MM     MM
CHAO3  43.345 -124.322 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM 1026.9    MM   5.0   9.5    MM   MM     MM
CHAV3  18.335  -64.920 2012 01 06 08 06  MM    MM    MM   MM  MM   MM  MM 1014.0    MM    MM    MM    MM   MM     MM
CHCM2  39.527  -75.810 2012 01 06 08 06  MM   0.0   0.5   MM  MM   MM  MM 1013.7    MM  -3.0   3.4    MM   MM     MM
CHDS1  33.662  -82.200 2012 01 06 07 40 330   1.5   1.5   MM  MM   MM  MM     MM    MM   2.3    MM    MM   MM     MM
CHII2  42.000  -87.500 2012 01 06 08 00 220   7.2  10.3   MM  MM   MM  MM     MM    MM   8.7    MM    MM   MM     MM
CHLV2  36.910  -75.710 2012 01 06 08 00 220   8.2   9.3   MM  MM   MM  MM 1016.9  -1.0   8.2    MM   1.2   MM     MM
CHNO3  43.345 -124.329 2012 01 06 07 30  30   1.0    MM   MM  MM   MM  MM 1028.0    MM   5.2    MM   5.1   MM     MM
CHSV3  17.748  -64.699 2012 01 06 08 00 150   1.5   2.1   MM  MM   MM  MM 1014.5  -1.1  23.0  26.9    MM   MM     MM
CHYV2  36.930  -76.007 2012 01 06 08 12 200   5.7   7.7   MM  MM   MM  MM 1015.1    MM   5.6    MM    MM   MM     MM
CHYW1  48.863 -122.758 2012 01 06 08 00 180   3.6   5.1   MM  MM   MM  MM     MM    MM   5.9    MM    MM   MM     MM
CLBP4  18.301  -65.302 2012 01 06 08 06  60   0.5   1.0   MM  MM   MM  MM 1016.5    MM  22.2  26.5    MM   MM     MM
CLKN7  34.622  -76.525 2012 01 06 08 00 260   2.6   2.6   MM  MM   MM  MM 1019.8  +0.0  10.6    MM   5.7   MM     MM
CLSM4  42.471  -82.877 2012 01 06 08 00 230   6.2   9.8   MM  MM   MM  MM 1004.1  -0.6   4.7    MM    MM   MM     MM
CMAN4  38.968  -74.960 2012 01 06 08 06 200   3.1   5.1   MM  MM   MM  MM 1014.8    MM   5.0   6.4    MM   MM     MM
CMTI2  41.730  -87.538 2012 01 06 08 00 200   4.1   6.2   MM  MM   MM  MM 1006.7  -0.5   5.8    MM    MM   MM     MM
CNDO1  41.540  -81.635 2012 01 06 08 06 220   4.6   7.7   MM  MM   MM  MM 1008.0    MM   6.5    MM    MM   MM     MM
COVM2  38.404  -76.386 2012 01 06 08 12 240   6.7   8.2   MM  MM   MM  MM 1013.9    MM   5.9    MM    MM   MM     MM
CPNT2  28.118  -97.022 2012 01 06 07 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  15.7    MM   MM     MM
CPTR1  41.717  -71.343 2012 01 06 08 06 290   1.5   2.1   MM  MM   MM  MM 1013.2    MM  -0.6   9.4    MM   MM     MM
CRTA1  30.308  -88.140 2012 01 06 07 00 300   1.0    MM   MM  MM   MM  MM 1021.7    MM  11.9    MM    MM   MM     MM
CRVA2  60.557 -145.755 2012 01 06 07 54 180   6.7  14.4   MM  MM   MM  MM  998.5    MM   0.4   2.8    MM   MM     MM
CRYV2  36.888  -76.338 2012 01 06 08 06 200   3.1   4.6   MM  MM   MM  MM 1016.8    MM    MM    MM    MM   MM     MM
CWBF1  27.977  -82.832 2012 01 06 08 00 200   2.1   2.6   MM  MM   MM  MM 1022.0  -0.8  15.2  15.0    MM   MM     MM
CYGM4  45.651  -84.472 2012 01 06 07 54 230   1.0   4.6   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
DBLN6  42.493  -79.353 2012 01 06 08 00 200   4.6   7.2   MM  MM   MM  MM 1006.4  -1.1   4.9    MM    MM   MM     MM
DELD1  39.582  -75.590 2012 01 06 08 00 150   1.0   1.0   MM  MM   MM  MM 1013.6  -0.7   0.7   4.9    MM   MM     MM
DESW1  47.675 -124.485 2012 01 06 08 00  90   2.6   2.6   MM  MM   MM  MM 1028.5  +0.0   4.9    MM    MM   MM     MM
DISW3  47.080  -90.728 2012 01 06 08 00 240  10.8  12.4   MM  MM   MM  MM  996.3  +0.5   5.4    MM   0.9   MM     MM
DKCM6  30.355  -88.567 2012 01 06 08 06 240   1.0   1.5   MM  MM   MM  MM 1020.6    MM  12.7    MM    MM   MM     MM
DOMV2  36.962  -76.425 2012 01 06 08 00 220   5.1   6.2   MM  MM   MM  MM 1016.6  -0.5   5.7    MM    MM   MM     MM
DPIA1  30.248  -88.073 2012 01 06 08 05  MM   0.0   0.0   MM  MM   MM  MM 1021.3  -1.0  11.3    MM    MM   MM     MM
DPXC1  38.057 -122.259 2012 01 06 08 00 210   1.0   1.0   MM  MM   MM  MM 1021.1    MM   7.9    MM    MM   MM     MM
DRFA2  60.553 -152.137 2012 01 06 08 00  30   3.6   4.6   MM  MM   MM  MM  999.2  -0.0 -12.0    MM    MM   MM     MM
DRSD1  39.089  -75.437 2012 01 06 07 30  MM   0.0    MM   MM  MM   MM  MM 1014.0    MM  -0.9    MM  -2.9   MM     MM
DTLM4  45.992  -83.897 2012 01 06 08 06 210   1.5   2.1   MM  MM   MM  MM  997.7    MM   0.7    MM    MM   MM     MM
DUKN7  36.183  -75.747 2012 01 06 08 00 200   4.6   5.1   MM  MM   MM  MM     MM    MM   6.0  10.0    MM   MM     MM
DULM5  46.775  -92.093 2012 01 06 08 06 250   5.1   6.7   MM  MM   MM  MM  998.9    MM   6.8    MM    MM   MM     MM
EBSW1  47.605 -122.338 2012 01 06 07 54 150   2.6   3.6   MM  MM   MM  MM 1028.8    MM   4.9   8.8    MM   MM     MM
EGKF1  27.601  -82.760 2012 01 06 06 54 230   1.5   2.1   MM  MM   MM  MM 1023.1    MM  15.6    MM    MM   MM   0.58
ELFA2  58.193 -136.343 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM 1013.9    MM   0.5   6.0    MM   MM     MM
ELXC1  36.815 -121.738 2012 01 06 07 45 270   1.0    MM   MM  MM   MM  MM 1021.0    MM   8.5    MM   7.6   MM     MM
EPTT2  29.480  -94.918 2012 01 06 08 12 190   4.1   4.1   MM  MM   MM  MM     MM    MM  16.8  14.1    MM   MM     MM
EROA2  58.971 -135.220 2012 01 06 07 00 180   7.7  11.8   MM  MM   MM  MM 1014.6  +0.0   2.2    MM  -1.7   MM     MM
ESPP4  18.094  -65.471 2012 01 06 08 06  50   0.5   1.5   MM  MM   MM  MM 1015.4    MM  22.6  26.5    MM   MM     MM
FAIO1  41.760  -81.281 2012 01 06 08 06 220  10.8  13.4   MM  MM   MM  MM 1007.2    MM   7.7    MM    MM   MM     MM
FBIS1  32.685  -79.888 2012 01 06 08 00 240   2.6   3.1   MM  MM   MM  MM 1020.9  -0.4   9.1    MM   6.4   MM     MM
FCGT2  28.943  -95.303 2012 01 06 08 06 170   4.6   5.1   MM  MM   MM  MM 1019.6    MM  16.8  14.8    MM   MM     MM
FFIA2  57.272 -133.630 2012 01 06 08 00 130   5.1   5.7   MM  MM   MM  MM 1016.3  -1.1   2.3    MM    MM   MM     MM
FHPF1  28.153  -82.801 2012 01 06 06 54 170   2.1   2.1   MM  MM   MM  MM 1023.3    MM  12.9    MM    MM   MM  -0.34
FILA2  59.332 -151.995 2012 01 06 08 00 270  10.3  12.4   MM  MM   MM  MM 1002.9  +0.6 -10.8    MM    MM   MM     MM
FMOA1  30.228  -88.025 2012 01 06 08 06 270   3.1   3.6   MM  MM   MM  MM 1021.1    MM  14.4    MM    MM   MM     MM
FMRF1  26.647  -81.872 2012 01 06 08 00 150   0.5   1.0   MM  MM   MM  MM 1022.5  -0.8  10.1  15.4    MM   MM     MM
FOXR1  41.807  -71.402 2012 01 06 07 54 360   2.1   2.6   MM  MM   MM  MM 1013.0    MM  -1.3   6.8    MM   MM     MM
FPKG1  32.033  -80.902 2012 01 06 07 54 210   2.1   2.6   MM  MM   MM  MM     MM    MM   7.4  11.7    MM   MM     MM
FPTM4  45.619  -86.659 2012 01 06 07 40 230   6.7   8.2   MM  MM   MM  MM  997.6    MM   2.9    MM    MM   MM     MM
FRDF1  30.672  -81.465 2012 01 06 08 00 230   1.5   2.6   MM  MM   MM  MM 1020.6  -0.3   9.5  12.5    MM   MM     MM
FRDP4  18.335  -65.631 2012 01 06 08 00 120   2.6   3.1   MM  MM   MM  MM 1016.0  -0.9  22.3  25.8    MM   MM     MM
FRDW1  48.547 -123.010 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM 1027.5    MM    MM   7.8    MM   MM     MM
FRVM3  41.705  -71.163 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM 1014.1    MM  -1.2   5.6    MM   MM     MM
FRWL1  29.555  -92.305 2012 01 06 07 54 180   2.6   3.1   MM  MM   MM  MM 1020.1    MM  15.3  14.7    MM   MM     MM
FSKM2  39.219  -76.528 2012 01 06 08 00  80   1.0   1.0   MM  MM   MM  MM 1014.0  -0.6   1.3    MM    MM   MM     MM
FTGM4  43.007  -82.423 2012 01 06 07 54 210   5.7   7.2   MM  MM   MM  MM 1003.6    MM   3.0    MM    MM   MM     MM
FTPC1  37.807 -122.465 2012 01 06 08 00 190   1.5   1.5   MM  MM   MM  MM 1021.7  -0.4   7.8  10.7    MM   MM     MM
FWYF1  25.590  -80.097 2012 01 06 08 00 320   4.6   5.7   MM  MM   MM  MM 1022.2  -1.1  17.2  21.7    MM   MM     MM
GBLW3  44.655  -87.902 2012 01 06 07 51  MM    MM    MM   MM  MM   MM  MM     MM    MM   6.3    MM    MM   MM     MM
GDMM5  47.748  -90.342 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM  995.4    MM  -2.5    MM    MM   MM     MM
GDXM6  30.359  -88.420 2012 01 06 07 45  30   0.5    MM   MM  MM   MM  MM 1021.0    MM   8.6    MM    MM   MM     MM
GELO1  41.860  -80.974 2012 01 06 07 20 210   3.6   7.7   MM  MM   MM  MM 1007.1    MM   5.9    MM    MM   MM     MM
GISL1  29.263  -89.957 2012 01 06 08 00 240   1.5   2.1   MM  MM   MM  MM 1021.0    MM  16.0  16.5    MM   MM     MM
GNJT2  29.357  -94.723 2012 01 06 08 00 190   5.7   6.2   MM  MM   MM  MM     MM    MM  16.6  14.3    MM   MM     MM
GPOM6  30.230  -88.982 2012 01 06 08 00 280   2.6   3.1   MM  MM   MM  MM 1021.3  -1.2  14.1    MM    MM   MM     MM
GRMM4  46.680  -85.970 2012 01 06 07 40 200   6.7   8.2   MM  MM   MM  MM  996.6    MM  -0.1    MM    MM   MM     MM
GSLM4  44.018  -83.537 2012 01 06 08 01 160   3.6   4.1   MM  MM   MM  MM 1001.4    MM   1.4    MM    MM   MM     MM
GTLM4  45.211  -85.550 2012 01 06 07 40 240  10.8  12.9   MM  MM   MM  MM  999.0    MM   6.2    MM    MM   MM     MM
GTRM4  47.179  -88.242 2012 01 06 08 00 210   2.6   3.1   MM  MM   MM  MM  994.6  -0.7   0.4    MM    MM   MM     MM
GTXF1  29.658  -81.220 2012 01 06 07 45 240   0.5    MM   MM  MM   MM  MM 1023.0    MM   7.2    MM   6.3   MM     MM
GWPM6  30.348  -89.087 2012 01 06 07 54 280   2.1   2.1   MM  MM   MM  MM 1020.9    MM  12.6    MM    MM   MM     MM
HBYC1  40.767 -124.217 2012 01 06 07 54  MM    MM    MM   MM  MM   MM  MM 1025.7    MM    MM  10.4    MM   MM     MM
HCGN7  35.208  -75.703 2012 01 06 07 54 250   3.1   3.1   MM  MM   MM  MM 1018.5    MM   7.3   8.1    MM   MM     MM
HHLO1  41.401  -82.545 2012 01 06 08 00 240   6.7  11.3   MM  MM   MM  MM     MM    MM   6.0    MM    MM   MM     MM
HLNM4  42.768  -86.201 2012 01 06 07 54 180   8.8   9.3   MM  MM   MM  MM 1004.8    MM   5.7    MM    MM   MM     MM
HMRA2  59.601 -151.416 2012 01 06 07 30 230   7.2    MM   MM  MM   MM  MM 1001.0    MM  -9.7    MM -17.1   MM     MM
HRBM4  43.847  -82.643 2012 01 06 07 54 250   6.2   9.3   MM  MM   MM  MM 1001.6    MM   4.6    MM    MM   MM     MM
ICAC1  34.008 -118.500 2012 01 06 08 00 300   1.0   1.0   MM  MM   MM  MM 1015.6  -0.6  15.1  14.7    MM   MM     MM
IIWC1  32.714 -117.175 2012 01 06 07 36  MM   0.0   1.0   MM  MM   MM  MM     MM    MM  14.4    MM    MM   MM     MM
ILOH1  19.730 -155.055 2012 01 06 07 54 200   2.6   2.6   MM  MM   MM  MM 1022.5    MM  18.3  22.9    MM   MM     MM
