#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42044  26.191  -97.051 2012 01 06 07 00 130   8.0  10.0   MM  MM   MM  MM 1020.0    MM  17.1    MM  13.8   MM     MM
42046  27.890  -94.037 2012 01 06 07 00 180   8.0   9.0   MM  MM   MM  MM 1021.2    MM    MM  21.8    MM   MM     MM
42047  27.897  -93.597 2012 01 06 05 30 170   8.0   9.0   MM  MM   MM  MM 1021.8    MM  20.0  21.8  12.6   MM     MM
42055  22.203  -94.000 2012 01 06 07 50 100   9.0  11.0  1.1   5  3.9  88 1019.9  -2.3  22.6  24.5  12.8   MM     MM
42056  19.802  -84.857 2012 01 06 07 50  60   7.0   9.0  1.4   7  4.8  84 1019.6  -1.9  23.5  26.5  14.8   MM     MM
42057  16.834  -81.501 2012 01 06 07 50  30   9.0  10.0  2.1   7  5.7  MM 1016.6  -1.4  25.4  27.0  17.3   MM     MM
42058  14.923  -74.918 2012 01 06 07 50  70  10.0  11.0  1.9   8  5.3  67 1012.8  -1.5  26.3  27.1  21.4   MM     MM
42059  15.054  -67.472 2012 01 06 07 50 100   9.0  11.0  1.5  10  5.1  MM 1014.0  -1.2  24.7  27.5  21.1   MM     MM
42060  16.333  -63.500 2012 01 06 07 50 110   3.0   4.0  1.4  11  6.1  MM 1014.7  -1.2  25.9  27.1  20.5   MM     MM
42065  14.926  -75.046 2012 01 06 07 50  20   9.0  12.0  2.0   7  5.3  MM     MM    MM  24.5    MM  17.1   MM     MM
42085  17.860  -66.524 2012 01 06 07 30  20   3.0   3.0   MM  MM   MM  MM 1014.2    MM  24.8    MM    MM   MM     MM
42099  27.340  -84.245 2012 01 06 07 57  MM    MM    MM  0.4   5  4.1 301     MM    MM    MM  21.4    MM   MM     MM
42360  26.700  -90.460 2012 01 06 07 00 190   4.0   7.0  0.4   5   MM  MM     MM    MM  20.0  23.6    MM   MM     MM
42362  27.800  -90.670 2012 01 06 08 00 210   8.0    MM   MM  MM   MM  MM 1023.1  -1.3  20.0    MM  11.1   MM     MM
42363  28.160  -89.220 2012 01 06 08 00 300   4.0   4.0   MM  MM   MM  MM 1023.4  -1.3  18.9    MM  12.2   MM     MM
42369  27.189  -90.269 2012 01 06 06 00 220   3.0    MM  0.5   5   MM  MM     MM    MM    MM    MM    MM   MM     MM
42370  27.321  -90.536 2012 01 06 06 00  MM    MM    MM  0.6   4   MM  MM     MM    MM  19.9    MM    MM   MM     MM
42376  29.108  -87.944 2012 01 06 06 00 230   6.0    MM  0.6   2   MM  MM 1021.4    MM  20.1    MM    MM   MM     MM
